video_frame,time_seconds,original_prediction_count,combined_prediction_count,forward_motorcycle_gt_eligible,forward_motorcycle_raw_yolo_match,forward_motorcycle_raw_class,forward_motorcycle_raw_confidence,forward_motorcycle_raw_iou,forward_motorcycle_combined_evidence,forward_motorcycle_combined_view,forward_car_gt_eligible,forward_car_raw_yolo_match,forward_car_raw_class,forward_car_raw_confidence,forward_car_raw_iou,forward_car_combined_evidence,forward_car_combined_view,oncoming_bus_gt_eligible,oncoming_bus_raw_yolo_match,oncoming_bus_raw_class,oncoming_bus_raw_confidence,oncoming_bus_raw_iou,oncoming_bus_combined_evidence,oncoming_bus_combined_view,oncoming_truck_gt_eligible,oncoming_truck_raw_yolo_match,oncoming_truck_raw_class,oncoming_truck_raw_confidence,oncoming_truck_raw_iou,oncoming_truck_combined_evidence,oncoming_truck_combined_view,forward_motorcycle_displayed,forward_motorcycle_presentation_source,forward_car_displayed,forward_car_presentation_source,oncoming_bus_displayed,oncoming_bus_presentation_source,oncoming_truck_displayed,oncoming_truck_presentation_source,displayed_targets
11,1.0,28,51,1,1,rider,0.9406573176383972,0.6196147086820678,1,original,1,1,car,0.013432014733552933,0.545212778113469,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
12,1.1,19,35,1,1,rider,0.9408333897590637,0.6422642470897344,1,original,1,1,car,0.0035010636784136295,0.4344402704624768,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
13,1.2,18,30,1,1,rider,0.9560127854347229,0.620272194338365,1,original,1,1,car,0.003038441762328148,0.699155335115822,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
14,1.3,15,32,1,1,rider,0.9466875791549683,0.6436921450011953,1,original,1,1,car,0.1994309276342392,0.7467928229000885,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
15,1.4,16,31,1,1,rider,0.9520605206489563,0.618164414880409,1,original,1,1,car,0.0019584880210459232,0.4768321865993808,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
16,1.5,20,36,1,1,motorcycle,0.8459483981132507,0.6043008791663969,1,original,1,1,car,0.00953326653689146,0.27728326313791424,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
17,1.6,24,45,1,1,rider,0.9452556371688843,0.6474429712784382,1,original,1,1,car,0.09277952462434769,0.5990964413556861,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
18,1.7,14,30,1,1,motorcycle,0.9005296230316162,0.6091601250122928,1,original,1,1,car,0.015684939920902252,0.4829081446567373,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
19,1.8,17,32,1,1,rider,0.9453121423721313,0.5587554233616825,1,original,1,1,bus,0.06033423915505409,0.03170018562902381,1,low_light_enhanced,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
20,1.9,20,38,1,1,rider,0.958767294883728,0.5574229600502566,1,low_light_enhanced,1,1,car,0.003469920251518488,0.5964302091005074,1,original,0,0,,,,0,,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,0,,0,,forward_motorcycle|forward_car
21,2.0,23,46,1,1,rider,0.9669256806373596,0.5198951336675033,1,original,1,1,car,0.2916947901248932,0.5057119117823778,1,low_light_enhanced,1,1,bus,0.3946772813796997,0.8490285098132024,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
22,2.1,20,39,1,1,rider,0.9639384746551514,0.5589873213896673,1,original,1,1,car,0.30218231678009033,0.6520035086282501,1,original,1,1,bus,0.5118212103843689,0.8470910348827647,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
23,2.2,23,51,1,1,motorcycle,0.8720524907112122,0.5334985192842214,1,low_light_enhanced,1,1,car,0.6614145040512085,0.6344099391872413,1,original,1,1,bus,0.3931345045566559,0.807145140488105,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
24,2.3,20,41,1,1,rider,0.9430270195007324,0.5304308236147813,1,original,1,1,car,0.032891105860471725,0.5445232382832892,1,original,1,1,bus,0.4380570650100708,0.8166865101684307,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
25,2.4,24,52,1,1,rider,0.9265087246894836,0.4548083322175571,1,original,1,1,car,0.03480221703648567,0.5681811958676598,1,original,1,1,bus,0.32159876823425293,0.8560829745222821,1,low_light_enhanced,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
26,2.5,20,42,1,1,rider,0.9309391379356384,0.4881976098112593,1,original,1,1,car,0.056830406188964844,0.2595660420898586,1,original,1,1,bus,0.5931396484375,0.8752743810125124,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
27,2.6,19,41,1,1,rider,0.9341023564338684,0.47332038594338993,1,original,1,1,car,0.0023909120354801416,0.4316669158311501,1,original,1,1,bus,0.06088598445057869,0.7602963835176714,1,low_light_enhanced,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
28,2.7,21,43,1,1,rider,0.933609664440155,0.4524697348567688,1,original,1,1,car,0.4855746924877167,0.5840040682801413,1,original,1,1,bus,0.38167455792427063,0.8354656869329019,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
29,2.8,13,30,1,1,rider,0.9401627779006958,0.4805268634505843,1,original,1,1,car,0.8388996124267578,0.592127509185302,1,original,1,1,bus,0.33069175481796265,0.7941128975258385,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
30,2.9,21,50,1,1,rider,0.9480066895484924,0.4838864294501753,1,original,1,1,car,0.13801954686641693,0.6659654285152417,1,low_light_enhanced,1,1,bus,0.2504976987838745,0.8619437728063635,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
31,3.0,16,34,1,1,rider,0.9530420899391174,0.47392374431778905,1,original,1,0,,,,0,,1,1,bus,0.7323513031005859,0.8396632250528736,1,original,0,0,,,,0,,1,yolo_evidence,1,gt_aided_hold,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
32,3.1,12,24,1,1,rider,0.9287355542182922,0.513579139958962,1,original,1,0,,,,0,,1,1,bus,0.567543625831604,0.8492040418999921,1,low_light_enhanced,0,0,,,,0,,1,yolo_evidence,1,gt_aided_hold,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
33,3.2,20,37,1,1,rider,0.9172900915145874,0.4937977634688376,1,original,1,1,car,0.3053411841392517,0.6845186155960316,1,original,1,1,bus,0.6242993474006653,0.8190147459901038,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
34,3.3,11,21,1,1,rider,0.9004366397857666,0.5985674317377907,1,original,1,1,bus,0.005237753037363291,0.26159118100521234,1,original,1,1,bus,0.8907312154769897,0.798402702026625,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
35,3.4,22,47,1,1,rider,0.9022440910339355,0.485770400464831,1,low_light_enhanced,1,1,bus,0.10133635252714157,0.7256484985336996,1,original,1,1,bus,0.7811986804008484,0.7508335387103265,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
36,3.5,20,41,1,1,rider,0.9041699767112732,0.4939715901824406,1,low_light_enhanced,1,1,car,0.002505333162844181,0.6837282151576926,1,original,1,1,bus,0.7569308876991272,0.7736702853246558,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
37,3.6,18,41,1,1,rider,0.7804774045944214,0.5230797503899953,1,original,1,1,bus,0.21053986251354218,0.6134675601746916,1,low_light_enhanced,1,1,bus,0.8487043380737305,0.7548833840792748,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
38,3.7,13,31,1,1,rider,0.6476267576217651,0.5396308427502077,1,original,1,1,bus,0.006762925535440445,0.8506557035092307,1,original,1,1,bus,0.7558869123458862,0.7770854152071108,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
39,3.8,13,27,1,1,motorcycle,0.013686669990420341,0.6853575292682612,1,original,1,1,car,0.7018835544586182,0.6718918983355843,1,original,1,1,bus,0.7546645402908325,0.7488575686436256,1,original,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
40,3.9,12,26,1,1,rider,0.028803091496229172,0.4844203393414403,1,original,1,1,bus,0.7666558623313904,0.7137399108212032,1,low_light_enhanced,1,1,bus,0.5880535244941711,0.624361680970818,1,low_light_enhanced,0,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,0,,forward_motorcycle|forward_car|oncoming_bus
41,4.0,13,22,1,1,rider,0.004155156668275595,0.4243104862519182,1,original,1,1,car,0.04281998798251152,0.559092138571935,1,original,1,1,bus,0.80461186170578,0.6712456693253412,1,low_light_enhanced,1,1,bus,0.7360146045684814,0.21077419028749525,1,original,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
42,4.1,14,32,1,1,rider,0.02373928390443325,0.413156106030191,1,original,1,1,bus,0.23964862525463104,0.6997227331965525,1,low_light_enhanced,1,1,bus,0.4338643252849579,0.6618327040021628,1,original,1,1,bus,0.3887743651866913,0.19334845847534524,1,original,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
43,4.2,11,22,1,1,rider,0.014180243015289307,0.4257461679751215,1,original,1,1,car,0.18807169795036316,0.5403467408083635,1,original,1,1,bus,0.03210805356502533,0.6435955536436047,1,original,1,1,bus,0.03226379677653313,0.2733577953333416,1,original,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
44,4.3,11,21,1,1,rider,0.003892067354172468,0.41155779123235764,1,original,1,1,bus,0.41997846961021423,0.5240745148078858,1,original,1,1,bus,0.004290645942091942,0.5752242387429859,1,low_light_enhanced,1,1,bus,0.012311850674450397,0.25111385894662314,1,low_light_enhanced,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
45,4.4,15,29,1,1,rider,0.012138093821704388,0.4319211312943504,1,original,1,1,car,0.012944181449711323,0.6147854927770009,1,original,1,1,bus,0.050962839275598526,0.5949912237819777,1,low_light_enhanced,1,1,bus,0.05337831377983093,0.26810129746318934,1,low_light_enhanced,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
46,4.5,12,20,1,1,rider,0.05409684404730797,0.41779102078680086,1,low_light_enhanced,1,1,car,0.003049984574317932,0.5874604656439528,1,original,1,1,bus,0.0033712456934154034,0.5230337927579427,1,low_light_enhanced,1,1,bus,0.004465419799089432,0.19522696506142564,1,original,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
47,4.6,12,25,1,1,rider,0.005248106084764004,0.39544177388664464,1,original,1,1,bus,0.594519317150116,0.5490557929939902,1,original,1,1,bus,0.15648721158504486,0.48065598619802374,1,low_light_enhanced,1,1,bus,0.1487995982170105,0.14419296129153064,1,low_light_enhanced,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
48,4.7,6,11,1,1,rider,0.0016210140893235803,0.46536645311116537,1,original,1,1,bus,0.05217090994119644,0.5409741261086496,1,low_light_enhanced,1,0,,,,1,low_light_enhanced,1,0,,,,0,,1,yolo_evidence,1,yolo_evidence,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
49,4.8,10,18,1,1,rider,0.010988674126565456,0.5058181206089,1,original,1,1,bus,0.22218911349773407,0.5892823124744868,1,low_light_enhanced,1,0,,,,0,,1,1,bus,0.0023116045631468296,0.07160418597385414,1,original,1,yolo_evidence,1,yolo_evidence,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|forward_car|oncoming_bus|oncoming_truck
50,4.9,12,20,1,1,rider,0.14436747133731842,0.47423338311104163,1,original,0,0,,,,0,,1,1,bus,0.0026062873657792807,0.36889002364006956,1,original,1,1,bus,0.16038785874843597,0.12003360408785994,1,original,1,yolo_evidence,0,,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
51,5.0,16,23,1,1,rider,0.28087297081947327,0.5172276614034028,1,original,0,0,,,,0,,1,1,bus,0.08942314982414246,0.2533065553378512,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
52,5.1,7,12,1,1,rider,0.031705960631370544,0.5305703133055005,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
53,5.2,16,33,1,1,rider,0.9441545009613037,0.5242831543326432,1,original,0,0,,,,0,,1,1,bus,0.0047106812708079815,0.5231740971569985,1,original,1,1,bus,0.156212717294693,0.05320254887433007,1,original,1,yolo_evidence,0,,1,yolo_evidence,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
54,5.3,15,30,1,1,rider,0.5334539413452148,0.5235871824050224,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
55,5.4,14,27,1,1,rider,0.7354663014411926,0.5578001398208654,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
56,5.5,9,14,1,1,rider,0.327354371547699,0.5210375191628872,1,original,0,0,,,,0,,1,1,bus,0.007878823205828667,0.24066761579206755,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
57,5.6,18,29,1,1,rider,0.8756723403930664,0.4541167206168987,1,low_light_enhanced,0,0,,,,0,,1,1,bus,0.026559527963399887,0.22645553967171694,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
58,5.7,11,18,1,1,rider,0.8694618344306946,0.6811814660010852,1,original,0,0,,,,0,,1,1,bus,0.0057946727611124516,0.2337951826372687,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
59,5.8,6,10,1,1,rider,0.8194384574890137,0.4828766069189563,1,original,0,0,,,,0,,1,1,bus,0.01899593323469162,0.219748160973562,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
60,5.9,14,22,1,1,rider,0.9361554384231567,0.5835161940423739,1,original,0,0,,,,0,,1,1,bus,0.0015531642129644752,0.23252926185553197,1,original,1,0,,,,0,,1,yolo_evidence,0,,1,yolo_evidence,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
61,6.0,11,16,1,1,rider,0.8322048187255859,0.5225897794674642,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
62,6.1,7,11,1,1,rider,0.9017260074615479,0.5050417778526497,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
63,6.2,7,13,1,1,rider,0.9605677127838135,0.5502055299541193,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
64,6.3,12,26,1,1,rider,0.9576869606971741,0.5681919158181135,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
65,6.4,15,25,1,1,motorcycle,0.8686858415603638,0.5329983896625535,1,original,0,0,,,,0,,0,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,0,,1,gt_aided_hold,forward_motorcycle|oncoming_truck
66,6.5,15,28,1,1,rider,0.9438862800598145,0.5898215714810764,1,original,0,0,,,,0,,0,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,0,,1,gt_aided_hold,forward_motorcycle|oncoming_truck
67,6.6,16,30,1,1,rider,0.9589940905570984,0.6491226326766479,1,original,0,0,,,,0,,0,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,0,,1,gt_aided_hold,forward_motorcycle|oncoming_truck
68,6.7,17,31,1,1,rider,0.9499127268791199,0.6340510826874969,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.05793391168117523,0.5655569375467795,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
69,6.8,15,26,1,1,rider,0.9493891596794128,0.6586919077139894,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.0029195828828960657,0.6086230447408061,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
70,6.9,14,26,1,1,rider,0.9295533299446106,0.6072376779595525,1,original,0,0,,,,0,,0,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,0,,1,gt_aided_hold,forward_motorcycle|oncoming_truck
71,7.0,11,22,1,1,rider,0.8254568576812744,0.6304372224945268,1,original,0,0,,,,0,,0,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,0,,1,gt_aided_hold,forward_motorcycle|oncoming_truck
72,7.1,17,33,1,1,rider,0.9209699630737305,0.6838905986072144,1,original,0,0,,,,0,,0,0,,,,0,,1,1,bus,0.0017431521555408835,0.742441382092915,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
73,7.2,14,26,1,1,rider,0.833949863910675,0.6394799467153646,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.02105419524013996,0.7938045785184954,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
74,7.3,22,33,1,1,rider,0.8303391337394714,0.678615817071465,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.0868876501917839,0.8093251044788509,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
75,7.4,24,46,1,1,rider,0.4494918882846832,0.6703853778402223,1,low_light_enhanced,0,0,,,,0,,1,0,,,,0,,1,1,truck,0.012707737274467945,0.8081765901837548,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
76,7.5,15,25,1,1,rider,0.7525178790092468,0.6571018205703956,1,low_light_enhanced,0,0,,,,0,,1,0,,,,0,,1,1,bus,0.07284608483314514,0.7782203905077842,1,low_light_enhanced,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
77,7.6,13,22,1,1,rider,0.838824987411499,0.7901666725098797,1,original,0,0,,,,0,,1,0,,,,0,,1,1,bus,0.5604605674743652,0.7810057385334079,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
78,7.7,9,17,1,1,rider,0.3875325620174408,0.7771080796695597,1,original,0,0,,,,0,,1,0,,,,0,,1,1,bus,0.36536136269569397,0.7563559714451531,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
79,7.8,12,20,1,1,rider,0.31808558106422424,0.7440558623994116,1,original,0,0,,,,0,,1,0,,,,0,,1,1,bus,0.475410521030426,0.725943681296901,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
80,7.9,10,18,1,1,rider,0.5215101838111877,0.7616070964144106,1,original,0,0,,,,0,,1,0,,,,0,,1,1,bus,0.03579666465520859,0.766064036460143,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
81,8.0,10,15,1,1,rider,0.6129822731018066,0.7803329669599745,1,original,0,0,,,,0,,1,0,,,,0,,1,0,,,,0,,1,yolo_evidence,0,,1,gt_aided_hold,1,gt_aided_hold,forward_motorcycle|oncoming_bus|oncoming_truck
82,8.1,12,19,1,1,rider,0.7864549160003662,0.7962262401639201,1,original,0,0,,,,0,,1,0,,,,0,,1,1,truck,0.006998332217335701,0.7713626510473227,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
83,8.2,9,14,1,1,rider,0.8615428805351257,0.7454513588594659,1,original,0,0,,,,0,,1,0,,,,0,,1,1,truck,0.03906790912151337,0.7585287525258512,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
84,8.3,10,16,1,1,rider,0.7672181725502014,0.749387953780836,1,original,0,0,,,,0,,1,0,,,,0,,1,1,truck,0.002065258799120784,0.7710301213542603,1,original,1,yolo_evidence,0,,1,gt_aided_hold,1,yolo_evidence,forward_motorcycle|oncoming_bus|oncoming_truck
85,8.4,4,9,1,1,motorcycle,0.25372302532196045,0.40817508387468027,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.054969802498817444,0.7972006954001074,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
86,8.5,7,10,1,1,motorcycle,0.02914891391992569,0.4766527700473774,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.001828990876674652,0.8104620083852507,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
87,8.6,6,13,1,1,motorcycle,0.007383781485259533,0.5286792779759085,1,original,0,0,,,,0,,0,0,,,,0,,1,1,truck,0.01223806943744421,0.7811241983264047,1,original,1,yolo_evidence,0,,0,,1,yolo_evidence,forward_motorcycle|oncoming_truck
